,ts,rh,temp,weather,windDir,windSpeed
0,1667185200,51.0,26.5,,46.0,19.4
1,1667188800,51.0,26.7,,32.0,14.0
2,1667192400,49.0,26.8,,33.0,16.6
3,1667196000,49.0,26.8,Cloudy,28.0,18.7
4,1667199600,48.6,27.1,,20.0,19.0
5,1667203200,48.5,27.0,,22.0,18.6
6,1667206800,48.8,26.5,Sunny Intervals,16.0,17.6
7,1667210400,48.7,26.0,,11.0,16.5
8,1667214000,48.3,25.8,,15.0,16.8
9,1667217600,49.0,25.7,Cloudy,13.0,15.2
10,1667221200,48.9,25.2,,12.0,16.5
11,1667224800,48.9,24.8,,10.0,14.1
12,1667228400,49.3,24.4,Cloudy,10.0,14.7
13,1667232000,49.7,24.0,,11.0,13.4
14,1667235600,50.6,23.5,,12.0,13.7
15,1667239200,50.9,23.2,Mainly Cloudly ,14.0,13.8
16,1667242800,51.7,22.8,,12.0,13.4
17,1667246400,52.5,22.6,,13.0,13.6
18,1667250000,53.9,22.1,Cloudy,13.0,14.1
19,1667253600,54.0,21.6,,12.0,14.3
20,1667257200,53.4,21.2,,18.0,14.1
21,1667260800,52.0,21.7,Sunny Intervals,20.0,15.1
22,1667264400,51.3,21.9,,20.0,15.5
23,1667268000,50.6,22.1,,23.0,14.9
24,1667271600,49.8,22.4,Cloudy,23.0,15.1
25,1667275200,51.7,22.2,,19.0,14.9
26,1667278800,52.3,22.1,,20.0,14.0
27,1667282400,53.0,22.0,Cloudy,20.0,14.1
28,1667286000,52.7,22.0,,24.0,13.7
29,1667289600,53.3,21.8,,23.0,13.7
30,1667293200,55.4,21.1,Cloudy,18.0,12.8
31,1667296800,58.0,20.4,,11.0,11.9
32,1667300400,62.3,19.3,,17.0,11.6
33,1667304000,64.5,18.4,Cloudy,13.0,10.5
34,1667307600,66.0,18.1,,14.0,11.4
35,1667311200,66.7,18.2,,13.0,10.3
36,1667314800,68.7,18.4,Cloudy,15.0,10.1
37,1667318400,71.9,18.1,,13.0,10.2
38,1667322000,74.9,19.2,,15.0,10.4
39,1667325600,77.9,20.2,Light Rain,17.0,11.0
40,1667329200,77.9,21.5,,14.0,10.5
41,1667332800,78.3,21.1,,13.0,10.7
42,1667336400,80.5,20.7,Light Rain,15.0,11.1
43,1667340000,79.8,20.3,,14.0,11.5
44,1667343600,78.2,20.2,,21.0,11.4
45,1667347200,76.2,20.9,Light Rain,24.0,12.6
46,1667350800,77.9,21.0,,25.0,13.1
47,1667354400,77.0,21.2,,28.0,13.0
48,1667358000,74.7,21.7,Light Rain,24.0,13.4
49,1667361600,74.3,21.9,,21.0,13.4
50,1667365200,75.6,21.8,,28.0,12.5
51,1667368800,76.8,21.9,Light Rain,28.0,12.5
52,1667372400,78.4,21.9,,33.0,12.6
53,1667376000,80.7,21.7,,39.0,12.7
54,1667379600,82.0,21.7,Light Rain,34.0,11.6
55,1667383200,80.7,21.6,,30.0,10.9
56,1667386800,80.2,21.8,,41.0,11.3
57,1667390400,82.1,21.8,Light Rain,40.0,10.4
58,1667394000,81.6,21.3,,42.0,12.2
59,1667397600,83.0,20.6,,44.0,10.8
60,1667401200,85.5,20.0,Light Rain,49.0,11.1
61,1667404800,85.1,20.1,,51.0,9.7
62,1667408400,85.6,20.2,,58.0,10.2
63,1667412000,84.8,20.5,Light Rain,60.0,10.8
64,1667415600,85.3,20.7,,63.0,10.8
65,1667419200,86.6,20.8,,64.0,10.3
66,1667422800,89.5,20.8,Light Rain,66.0,10.4
67,1667426400,90.5,20.7,,62.0,10.3
68,1667430000,90.6,20.8,,68.0,11.2
69,1667433600,88.1,21.7,Light Rain,70.0,12.3
70,1667437200,87.8,22.2,,64.0,13.5
71,1667440800,85.8,22.5,,74.0,13.0
72,1667444400,83.5,22.9,Light Rain,69.0,13.1
73,1667448000,82.6,23.0,,70.0,12.7
74,1667451600,83.5,22.7,,76.0,12.3
75,1667455200,83.5,22.8,Light Rain,80.0,11.9
76,1667458800,83.6,22.9,,78.0,11.9
77,1667462400,84.6,23.0,,85.0,11.9
78,1667466000,87.0,22.5,Cloudy,79.0,10.1
79,1667469600,87.2,22.2,,69.0,8.8
80,1667473200,85.8,22.4,,74.0,9.2
81,1667476800,86.3,22.6,Cloudy,68.0,8.1
82,1667480400,87.5,22.4,,66.0,8.6
83,1667484000,87.4,22.5,,67.0,7.5
84,1667487600,88.0,22.6,Cloudy,72.0,7.1
85,1667491200,86.3,22.8,,71.0,6.7
86,1667494800,86.9,22.8,,72.0,6.3
87,1667498400,85.8,22.9,Cloudy,70.0,6.8
88,1667502000,86.6,22.9,,70.0,6.4
89,1667505600,86.6,22.7,,65.0,6.1
90,1667509200,88.4,22.3,Cloudy,64.0,5.9
91,1667512800,89.2,21.8,,57.0,5.8
92,1667516400,89.1,21.7,,64.0,6.3
93,1667520000,84.4,22.9,Cloudy,62.0,7.7
94,1667523600,83.2,23.5,,54.0,9.5
95,1667527200,80.7,24.0,,66.0,10.2
96,1667530800,77.9,24.7,Cloudy,60.0,10.5
97,1667534400,76.2,25.1,,62.0,10.2
98,1667538000,76.5,25.4,,68.0,9.8
99,1667541600,75.9,25.6,Cloudy,75.0,9.4
100,1667545200,75.7,25.5,,74.0,9.6
101,1667548800,76.8,25.1,,86.0,10.2
102,1667552400,80.6,24.3,Cloudy,92.0,8.7
103,1667556000,83.2,23.5,,78.0,7.3
104,1667559600,83.9,23.3,,80.0,7.7
105,1667563200,85.3,23.1,Cloudy,67.0,6.9
106,1667566800,85.0,22.9,,60.0,7.2
107,1667570400,85.1,22.7,,56.0,6.6
108,1667574000,85.6,22.5,Cloudy,54.0,6.2
109,1667577600,84.2,22.5,,52.0,5.9
110,1667581200,84.3,22.3,,54.0,5.4
111,1667584800,83.1,22.3,Cloudy,55.0,5.9
112,1667588400,83.5,22.2,,50.0,5.5
113,1667592000,82.6,21.9,,44.0,5.4
114,1667595600,83.4,21.5,Cloudy,40.0,5.5
115,1667599200,83.2,20.8,,35.0,5.6
116,1667602800,82.3,20.7,,44.0,6.4
117,1667606400,77.1,21.8,Cloudy,46.0,8.0
118,1667610000,74.6,22.5,,42.0,9.9
119,1667613600,70.7,23.2,,53.0,10.5
120,1667617200,68.4,23.8,Sunny Intervals,50.0,11.0
121,1667620800,68.0,24.2,,53.0,10.7
122,1667624400,68.7,24.5,,62.0,10.3
123,1667628000,68.8,24.8,Sunny Intervals,72.0,10.1
124,1667631600,70.0,24.6,,72.0,9.9
125,1667635200,72.0,24.1,,83.0,10.3
126,1667638800,76.1,23.3,Sunny Intervals,85.0,8.7
127,1667642400,78.5,22.6,,68.0,7.3
128,1667646000,78.8,22.4,,70.0,7.5
129,1667649600,80.3,22.2,Mainly Cloudly ,58.0,6.4
130,1667653200,81.7,21.9,,54.0,6.4
131,1667656800,81.9,21.7,,51.0,5.7
132,1667660400,82.6,21.5,Mainly Cloudly ,53.0,5.1
133,1667664000,81.1,21.4,,52.0,5.0
134,1667667600,81.0,21.2,,54.0,4.5
135,1667671200,79.5,21.1,Mainly Cloudly ,55.0,5.2
136,1667674800,78.9,21.0,,53.0,5.1
137,1667678400,77.5,20.7,,47.0,5.1
138,1667682000,77.7,20.2,Mainly Cloudly ,46.0,5.3
139,1667685600,76.6,19.7,,40.0,5.4
140,1667689200,74.5,19.6,,49.0,6.3
141,1667692800,69.6,20.9,Sunny Intervals,49.0,7.9
142,1667696400,66.9,21.7,,45.0,9.8
143,1667700000,63.6,22.5,,56.0,10.4
144,1667703600,62.7,23.3,Sunny Intervals,52.0,10.9
145,1667707200,62.3,23.8,,55.0,10.6
146,1667710800,62.8,24.2,,63.0,10.3
147,1667714400,62.9,24.6,Sunny Intervals,72.0,10.1
148,1667718000,64.6,24.5,,75.0,10.1
149,1667721600,67.0,23.8,,88.0,10.7
150,1667725200,70.5,23.0,Cloudy,94.0,9.2
151,1667728800,74.2,22.0,,82.0,7.8
152,1667732400,75.1,21.8,,83.0,8.3
153,1667736000,77.1,21.7,Cloudy,73.0,7.2
154,1667739600,78.4,21.5,,71.0,7.7
155,1667743200,78.4,21.4,,72.0,7.0
156,1667746800,79.1,21.4,Cloudy,72.0,6.6
157,1667750400,78.3,21.4,,70.0,6.3
158,1667754000,78.8,21.3,,72.0,6.0
159,1667757600,78.1,21.3,Cloudy,71.0,6.7
160,1667761200,78.5,21.0,,71.0,6.2
161,1667764800,78.0,20.7,,64.0,5.9
162,1667768400,79.2,20.3,Cloudy,59.0,5.8
163,1667772000,78.9,20.0,,51.0,5.7
164,1667775600,77.7,20.2,,59.0,6.2
165,1667779200,73.2,21.4,Cloudy,56.0,7.6
166,1667782800,69.6,22.2,,49.0,9.6
167,1667786400,65.6,22.9,,59.0,10.4
168,1667790000,63.1,23.7,Cloudy,52.0,11.0
169,1667793600,62.8,24.1,,54.0,10.7
170,1667797200,63.2,24.4,,62.0,10.3
171,1667800800,63.3,24.7,Cloudy,71.0,10.1
172,1667804400,64.3,24.7,,71.0,10.1
173,1667808000,66.4,24.1,,84.0,10.6
174,1667811600,69.9,23.2,Cloudy,87.0,9.1
175,1667815200,72.9,22.2,,71.0,7.8
176,1667818800,73.7,22.0,,74.0,8.1
177,1667822400,75.4,21.9,Cloudy,62.0,7.0
178,1667826000,78.7,21.4,,63.0,7.5
179,1667829600,79.0,21.4,,63.0,6.9
180,1667833200,79.7,21.4,Cloudy,66.0,6.6
181,1667836800,78.8,21.5,,65.0,6.3
182,1667840400,79.4,21.5,,69.0,6.1
183,1667844000,78.7,21.6,Cloudy,69.0,6.9
184,1667847600,80.0,21.4,,68.0,6.5
185,1667851200,80.4,21.1,,60.0,6.3
186,1667854800,82.6,20.6,Cloudy,57.0,6.4
187,1667858400,83.2,20.0,,52.0,6.4
188,1667862000,82.9,20.0,,60.0,7.0
189,1667865600,78.7,21.3,Cloudy,58.0,8.3
190,1667869200,75.8,22.1,,52.0,10.3
191,1667872800,71.7,23.0,,62.0,10.9
192,1667876400,69.0,23.9,Cloudy,56.0,11.4
193,1667880000,68.4,24.3,,58.0,11.3
194,1667883600,68.5,24.7,,64.0,10.8
195,1667887200,68.2,25.2,Cloudy,73.0,10.6
196,1667890800,68.8,25.2,,73.0,10.6
197,1667894400,70.4,24.5,,85.0,10.8
198,1667898000,74.0,23.6,Cloudy,88.0,9.3
199,1667901600,76.8,22.5,,72.0,7.9
200,1667905200,77.4,22.3,,75.0,8.3
201,1667908800,79.0,22.1,Cloudy,64.0,7.2
202,1667912400,82.1,21.6,,66.0,7.6
203,1667916000,82.8,21.6,,68.0,6.9
204,1667919600,84.0,21.5,Mainly Cloudly,70.0,6.3
205,1667923200,83.0,21.6,,71.0,6.0
206,1667926800,83.4,21.5,,74.0,5.6
207,1667930400,82.5,21.5,Mainly Cloudly,76.0,6.3
208,1667934000,82.8,21.3,,77.0,5.9
209,1667937600,82.1,21.0,,68.0,5.6
210,1667941200,83.6,20.6,Mainly Cloudly,66.0,5.4
211,1667944800,83.1,20.4,,59.0,5.2
212,1667948400,81.8,20.6,,68.0,5.8
213,1667952000,76.8,22.0,Sunny Intervals,64.0,7.1
214,1667955600,73.0,23.0,,54.0,9.0
215,1667959200,68.5,24.0,,66.0,9.7
216,1667962800,65.2,24.9,Sunny Intervals,58.0,10.1
217,1667966400,64.0,25.4,,58.0,9.9
218,1667970000,63.8,25.9,,62.0,9.7
219,1667973600,63.1,26.4,Sunny Intervals,68.0,9.7
220,1667977200,64.3,26.2,,69.0,9.8
221,1667980800,66.2,25.4,,84.0,10.3
222,1667984400,70.2,24.4,Sunny Periods,88.0,8.9
223,1667988000,73.8,23.1,,69.0,7.4
224,1667991600,75.3,22.7,,73.0,7.7
225,1667995200,77.6,22.3,Mainly Fine,60.0,6.6
226,1667998800,80.7,22.0,,57.0,6.8
227,1668002400,81.2,21.9,,57.0,6.2
228,1668006000,82.2,21.9,Mainly Cloudly,60.0,5.7
229,1668009600,81.1,21.9,,59.0,5.5
230,1668016800,,,Mainly Cloudly,,
